video_id,video_title,video_url,channel_name,date_uploaded,is_for_kids,is_age_restricted,df_index,id,avc
LbezwDNyxsA,Police find cave full of stolen Lamborghinis and Race Cars | Farming Simulator 22,https://www.youtube.com/watch?v=LbezwDNyxsA,Hudson's Playground Gaming,2022-12-08T06:00:10-08:00,False,False,1233,1233,1223
Al50HXGjg64,Moon Goddess and Moon Unicorn 🦄 👰 Bedtime Stories 🌛 Fairy Tales in English @WOAFairyTalesEnglish,https://www.youtube.com/watch?v=Al50HXGjg64,WOA Fairy Tales - English,2023-10-29T04:00:12-07:00,False,False,1235,1235,1225
KnjaK-77goU,Delivering Race Cars and Monster truck with Lamborghini | Farming Simulator 22,https://www.youtube.com/watch?v=KnjaK-77goU,Hudson's Playground Gaming,2022-10-16T06:00:18-07:00,False,False,1236,1236,1226
nO4x3JOc18Q,Campers race up dangerous mountain with mud trucks | Farming Simulator 22,https://www.youtube.com/watch?v=nO4x3JOc18Q,Hudson's Playground Gaming,2022-07-24T06:00:26-07:00,False,False,1237,1237,1227
mWicUxDqp0Q,We repo a Boat and Lamborghini in secret tunnel | Farming Simulator 22,https://www.youtube.com/watch?v=mWicUxDqp0Q,Hudson's Playground Gaming,2022-12-06T06:00:32-08:00,False,False,1238,1238,1228
9CpG4s8051Q,Using U-Haul to move Millionaires Race Cars and Monster Truck | Farming Simulator 22,https://www.youtube.com/watch?v=9CpG4s8051Q,Hudson's Playground Gaming,2022-07-28T06:00:10-07:00,False,False,1239,1239,1229
TW-F_2UceZ8,Farmer destroys road after falling asleep | Farming Simulator 19 construction,https://www.youtube.com/watch?v=TW-F_2UceZ8,Hudson's Playground Gaming,2021-07-06T06:00:11-07:00,False,False,1240,1240,1230
CfgwSQEGIDM,We repo a house and expensive race car | Farming Simulator 22,https://www.youtube.com/watch?v=CfgwSQEGIDM,Hudson's Playground Gaming,2022-05-15T06:00:04-07:00,False,False,1241,1241,1231
ai72XSSYLhY,Cleaning abandoned school while parents visit | Farming Simulator 22,https://www.youtube.com/watch?v=ai72XSSYLhY,Hudson's Playground Gaming,2022-06-30T06:00:02-07:00,False,False,1242,1242,1232
YoXy7anGMek,Repairing house after huge crash with police | Farming Simulator 19,https://www.youtube.com/watch?v=YoXy7anGMek,Hudson's Playground Gaming,2021-08-15T06:00:16-07:00,False,False,1243,1243,1233
sxGlEoPI3B8,Cops buy huge bus to haul criminals | Farming Simulator 22,https://www.youtube.com/watch?v=sxGlEoPI3B8,Hudson's Playground Gaming,2022-05-31T06:00:25-07:00,False,False,1244,1244,1234
Y-sH40EWu8E,Stuntman tries world record Monster Truck jump | Farming Simulator 22,https://www.youtube.com/watch?v=Y-sH40EWu8E,Hudson's Playground Gaming,2022-06-05T06:00:12-07:00,False,False,1245,1245,1235
